user_id,signup_date,user_tier,org_size
user_0,2025-02-08,free,small
user_1,2025-01-08,free,small
user_2,2025-01-19,free,small
user_3,2025-02-22,free,medium
user_4,2025-01-22,free,medium
user_5,2025-01-30,free,small
user_6,2025-01-21,free,medium
user_7,2025-02-13,free,small
user_8,2025-02-11,free,large
user_9,2025-01-15,free,medium
user_10,2025-02-20,free,large
user_11,2025-02-26,free,medium
user_12,2025-01-21,free,small
user_13,2025-01-25,premium,medium
user_14,2025-01-09,free,small
user_15,2025-01-28,free,small
user_16,2025-01-08,free,large
user_17,2025-02-05,free,medium
user_18,2025-01-06,free,small
user_19,2025-01-29,premium,medium
user_20,2025-02-03,free,large
user_21,2025-01-31,premium,small
user_22,2025-01-23,free,large
user_23,2025-01-21,free,small
user_24,2025-02-22,free,large
user_25,2025-03-01,free,small
user_26,2025-01-15,free,small
user_27,2025-01-09,free,small
user_28,2025-01-24,free,small
user_29,2025-01-08,free,medium
user_30,2025-01-05,premium,medium
user_31,2025-01-28,premium,medium
user_32,2025-02-03,free,small
user_33,2025-01-24,free,small
user_34,2025-01-22,premium,small
user_35,2025-02-06,premium,medium
user_36,2025-01-05,free,medium
user_37,2025-02-08,free,medium
user_38,2025-01-26,free,small
user_39,2025-02-01,free,small
user_40,2025-02-01,free,small
user_41,2025-02-08,free,medium
user_42,2025-02-05,premium,small
user_43,2025-02-20,free,large
user_44,2025-02-14,free,small
user_45,2025-01-28,premium,small
user_46,2025-01-30,premium,small
user_47,2025-02-24,premium,small
user_48,2025-02-02,free,medium
user_49,2025-02-26,premium,medium
user_50,2025-02-08,free,small
user_51,2025-02-06,free,small
user_52,2025-01-24,premium,small
user_53,2025-02-01,free,small
user_54,2025-02-18,free,small
user_55,2025-02-08,free,small
user_56,2025-02-18,premium,small
user_57,2025-01-02,free,small
user_58,2025-02-06,free,medium
user_59,2025-01-02,free,small
user_60,2025-01-06,free,medium
user_61,2025-01-11,free,small
user_62,2025-02-07,free,medium
user_63,2025-01-06,free,medium
user_64,2025-01-16,premium,small
user_65,2025-01-06,free,medium
user_66,2025-03-01,free,small
user_67,2025-01-03,premium,small
user_68,2025-01-07,free,medium
user_69,2025-02-08,premium,small
user_70,2025-01-28,free,small
user_71,2025-01-31,premium,small
user_72,2025-03-01,free,large
user_73,2025-02-21,free,small
user_74,2025-02-17,premium,small
user_75,2025-02-01,free,small
user_76,2025-02-04,free,medium
user_77,2025-01-20,premium,medium
user_78,2025-01-24,premium,large
user_79,2025-02-05,premium,medium
user_80,2025-02-04,free,large
user_81,2025-01-25,free,small
user_82,2025-01-18,free,small
user_83,2025-02-10,free,small
user_84,2025-01-14,free,medium
user_85,2025-01-08,premium,medium
user_86,2025-02-02,free,small
user_87,2025-01-22,free,small
user_88,2025-02-07,premium,small
user_89,2025-01-08,free,medium
user_90,2025-01-30,free,medium
user_91,2025-02-02,free,medium
user_92,2025-01-19,free,medium
user_93,2025-01-17,premium,small
user_94,2025-02-15,premium,small
user_95,2025-02-10,premium,small
user_96,2025-02-15,premium,large
user_97,2025-02-02,free,small
user_98,2025-02-01,premium,small
user_99,2025-01-18,free,large
user_100,2025-02-27,premium,small
user_101,2025-02-19,free,large
user_102,2025-01-02,free,small
user_103,2025-01-26,free,medium
user_104,2025-02-12,free,small
user_105,2025-02-11,premium,medium
user_106,2025-01-25,free,small
user_107,2025-01-07,free,medium
user_108,2025-01-01,free,small
user_109,2025-01-14,premium,small
user_110,2025-01-28,free,small
user_111,2025-01-22,free,small
user_112,2025-01-22,free,small
user_113,2025-02-21,free,small
user_114,2025-02-12,free,small
user_115,2025-02-22,free,large
user_116,2025-02-08,free,small
user_117,2025-02-21,free,medium
user_118,2025-02-09,free,large
user_119,2025-03-01,free,small
user_120,2025-02-25,free,small
user_121,2025-02-24,free,small
user_122,2025-01-23,free,medium
user_123,2025-01-01,free,small
user_124,2025-02-03,free,small
user_125,2025-01-25,free,small
user_126,2025-01-16,free,medium
user_127,2025-01-05,free,small
user_128,2025-01-12,free,small
user_129,2025-01-22,free,small
user_130,2025-01-05,free,small
user_131,2025-02-21,free,small
user_132,2025-01-26,free,small
user_133,2025-02-02,free,medium
user_134,2025-02-27,free,medium
user_135,2025-02-03,free,small
user_136,2025-01-19,free,medium
user_137,2025-01-05,free,medium
user_138,2025-01-16,free,small
user_139,2025-02-01,premium,small
user_140,2025-02-19,free,small
user_141,2025-02-20,premium,medium
user_142,2025-01-01,premium,large
user_143,2025-02-13,free,small
user_144,2025-02-15,free,small
user_145,2025-02-04,free,medium
user_146,2025-01-29,premium,small
user_147,2025-02-03,free,small
user_148,2025-02-27,free,medium
user_149,2025-01-29,free,small
user_150,2025-02-26,free,small
user_151,2025-01-24,premium,large
user_152,2025-02-17,free,small
user_153,2025-02-01,free,large
user_154,2025-02-06,free,medium
user_155,2025-01-23,free,small
user_156,2025-01-17,free,small
user_157,2025-01-25,free,medium
user_158,2025-02-18,free,large
user_159,2025-01-19,free,small
user_160,2025-01-14,free,small
user_161,2025-02-27,free,small
user_162,2025-02-04,free,small
user_163,2025-01-21,free,medium
user_164,2025-02-26,free,large
user_165,2025-02-27,free,small
user_166,2025-01-05,free,small
user_167,2025-01-11,free,small
user_168,2025-01-10,premium,medium
user_169,2025-02-07,free,medium
user_170,2025-02-11,free,medium
user_171,2025-01-02,free,small
user_172,2025-01-19,free,medium
user_173,2025-01-22,premium,large
user_174,2025-01-25,free,small
user_175,2025-03-01,free,medium
user_176,2025-02-23,free,small
user_177,2025-01-19,free,small
user_178,2025-01-13,free,small
user_179,2025-01-20,free,small
user_180,2025-02-10,free,medium
user_181,2025-01-28,premium,small
user_182,2025-02-18,free,small
user_183,2025-02-22,premium,small
user_184,2025-02-01,free,small
user_185,2025-01-16,free,large
user_186,2025-02-06,free,medium
user_187,2025-02-26,free,medium
user_188,2025-01-14,free,large
user_189,2025-02-23,free,large
user_190,2025-02-26,premium,large
user_191,2025-01-16,premium,small
user_192,2025-01-28,free,small
user_193,2025-02-05,free,small
user_194,2025-02-19,free,small
user_195,2025-02-05,premium,medium
user_196,2025-01-17,free,small
user_197,2025-01-13,free,small
user_198,2025-02-15,free,large
user_199,2025-02-20,free,medium
user_200,2025-01-02,free,medium
user_201,2025-02-28,free,small
user_202,2025-02-02,free,small
user_203,2025-02-16,free,small
user_204,2025-01-25,premium,medium
user_205,2025-01-13,free,small
user_206,2025-01-01,free,small
user_207,2025-01-28,premium,large
user_208,2025-02-07,premium,small
user_209,2025-02-22,premium,medium
user_210,2025-01-17,free,small
user_211,2025-01-01,premium,medium
user_212,2025-01-01,free,medium
user_213,2025-01-28,free,small
user_214,2025-02-27,free,medium
user_215,2025-02-28,free,medium
user_216,2025-02-13,free,medium
user_217,2025-02-26,free,small
user_218,2025-01-23,free,medium
user_219,2025-01-02,premium,large
user_220,2025-03-01,premium,medium
user_221,2025-01-18,free,small
user_222,2025-02-03,free,small
user_223,2025-01-24,premium,small
user_224,2025-02-11,premium,large
user_225,2025-01-04,free,medium
user_226,2025-01-17,free,small
user_227,2025-02-03,free,small
user_228,2025-02-12,free,small
user_229,2025-02-16,free,small
user_230,2025-01-31,free,medium
user_231,2025-01-04,free,small
user_232,2025-01-03,premium,small
user_233,2025-02-01,free,small
user_234,2025-01-19,premium,small
user_235,2025-02-11,free,small
user_236,2025-01-01,free,small
user_237,2025-02-15,free,small
user_238,2025-02-14,free,small
user_239,2025-02-16,free,small
user_240,2025-01-30,free,small
user_241,2025-01-17,free,medium
user_242,2025-02-18,free,large
user_243,2025-02-16,free,small
user_244,2025-01-26,free,small
user_245,2025-01-02,free,small
user_246,2025-02-25,free,medium
user_247,2025-01-23,free,small
user_248,2025-02-14,premium,small
user_249,2025-02-20,free,small
user_250,2025-02-06,free,small
user_251,2025-01-17,free,small
user_252,2025-02-13,free,small
user_253,2025-01-25,free,medium
user_254,2025-02-14,free,small
user_255,2025-01-22,free,medium
user_256,2025-02-18,free,small
user_257,2025-02-06,free,medium
user_258,2025-02-03,free,small
user_259,2025-01-06,free,small
user_260,2025-01-22,free,small
user_261,2025-02-17,free,small
user_262,2025-01-30,free,medium
user_263,2025-02-24,free,small
user_264,2025-02-06,premium,small
user_265,2025-01-02,free,large
user_266,2025-01-15,premium,small
user_267,2025-02-25,free,medium
user_268,2025-01-02,free,small
user_269,2025-02-20,premium,small
user_270,2025-01-26,free,small
user_271,2025-02-02,free,small
user_272,2025-01-01,free,small
user_273,2025-02-06,free,large
user_274,2025-01-13,free,small
user_275,2025-02-19,free,small
user_276,2025-01-10,premium,small
user_277,2025-01-02,free,small
user_278,2025-01-09,free,small
user_279,2025-01-24,free,medium
user_280,2025-01-31,premium,medium
user_281,2025-02-13,free,large
user_282,2025-01-11,premium,small
user_283,2025-02-04,premium,medium
user_284,2025-03-01,premium,small
user_285,2025-02-10,free,medium
user_286,2025-02-04,free,medium
user_287,2025-02-28,free,large
user_288,2025-01-25,premium,small
user_289,2025-02-09,free,medium
user_290,2025-02-01,free,small
user_291,2025-01-23,free,small
user_292,2025-01-17,premium,small
user_293,2025-01-14,free,small
user_294,2025-02-08,free,large
user_295,2025-01-07,free,medium
user_296,2025-02-21,free,medium
user_297,2025-02-21,free,small
user_298,2025-01-29,free,small
user_299,2025-02-06,free,small
user_300,2025-01-04,free,medium
user_301,2025-02-28,free,small
user_302,2025-01-13,free,medium
user_303,2025-01-24,free,small
user_304,2025-01-08,free,small
user_305,2025-01-12,free,small
user_306,2025-02-20,free,small
user_307,2025-02-12,free,medium
user_308,2025-01-10,free,small
user_309,2025-01-23,free,large
user_310,2025-01-12,premium,small
user_311,2025-01-18,free,small
user_312,2025-03-01,free,small
user_313,2025-02-17,free,large
user_314,2025-01-08,free,medium
user_315,2025-01-31,free,small
user_316,2025-01-29,free,medium
user_317,2025-01-11,free,small
user_318,2025-01-21,free,small
user_319,2025-01-23,premium,medium
user_320,2025-02-24,free,medium
user_321,2025-02-16,free,small
user_322,2025-02-21,free,medium
user_323,2025-02-04,free,small
user_324,2025-01-11,premium,small
user_325,2025-01-27,free,small
user_326,2025-02-12,free,large
user_327,2025-02-23,free,small
user_328,2025-01-06,free,small
user_329,2025-01-29,free,medium
user_330,2025-01-28,free,small
user_331,2025-01-17,premium,small
user_332,2025-02-23,premium,small
user_333,2025-02-09,free,small
user_334,2025-01-13,free,small
user_335,2025-02-25,premium,small
user_336,2025-01-29,free,small
user_337,2025-01-16,free,small
user_338,2025-01-14,free,small
user_339,2025-02-23,free,small
user_340,2025-02-07,free,small
user_341,2025-01-08,premium,large
user_342,2025-02-01,free,medium
user_343,2025-02-03,free,small
user_344,2025-01-28,premium,medium
user_345,2025-01-08,free,small
user_346,2025-01-24,free,small
user_347,2025-01-08,free,medium
user_348,2025-01-03,premium,small
user_349,2025-01-08,free,small
user_350,2025-01-14,free,medium
user_351,2025-01-16,free,medium
user_352,2025-01-21,free,small
user_353,2025-01-18,free,small
user_354,2025-01-23,premium,small
user_355,2025-01-19,free,small
user_356,2025-01-02,premium,medium
user_357,2025-01-11,free,small
user_358,2025-01-23,free,medium
user_359,2025-02-06,free,small
user_360,2025-02-03,premium,small
user_361,2025-02-27,free,small
user_362,2025-01-10,free,large
user_363,2025-01-23,free,small
user_364,2025-02-20,free,medium
user_365,2025-01-02,free,small
user_366,2025-02-23,free,small
user_367,2025-01-26,free,small
user_368,2025-01-23,free,medium
user_369,2025-01-21,premium,small
user_370,2025-02-03,free,medium
user_371,2025-02-27,free,small
user_372,2025-01-22,free,large
user_373,2025-01-06,free,small
user_374,2025-02-14,free,small
user_375,2025-02-14,premium,small
user_376,2025-02-27,free,small
user_377,2025-02-23,free,small
user_378,2025-02-05,free,small
user_379,2025-01-11,free,small
user_380,2025-02-18,free,medium
user_381,2025-02-23,free,medium
user_382,2025-02-23,free,small
user_383,2025-02-27,free,small
